2026-05-01 02:19:11,109 [MCA-SWEEP] INFO -   CT offset 280000: 2000 records, 0 new MCA leads
2026-05-01 02:19:13,641 [MCA-SWEEP] INFO -   CT offset 282000: 2000 records, 0 new MCA leads
2026-05-01 02:19:16,059 [MCA-SWEEP] INFO -   CT offset 284000: 2000 records, 0 new MCA leads
2026-05-01 02:19:17,826 [MCA-SWEEP] INFO -   CT offset 286000: 2000 records, 0 new MCA leads
2026-05-01 02:19:19,935 [MCA-SWEEP] INFO -   CT offset 288000: 2000 records, 0 new MCA leads
2026-05-01 02:19:22,342 [MCA-SWEEP] INFO -   CT offset 290000: 2000 records, 0 new MCA leads
2026-05-01 02:19:26,953 [MCA-SWEEP] INFO -   CT offset 292000: 2000 records, 0 new MCA leads
2026-05-01 02:19:28,982 [MCA-SWEEP] INFO -   CT offset 294000: 2000 records, 0 new MCA leads
2026-05-01 02:19:30,965 [MCA-SWEEP] INFO -   CT offset 296000: 2000 records, 0 new MCA leads
2026-05-01 02:19:32,630 [MCA-SWEEP] INFO -   CT offset 298000: 2000 records, 0 new MCA leads
2026-05-01 02:19:34,510 [MCA-SWEEP] INFO -   CT offset 300000: 2000 records, 0 new MCA leads
2026-05-01 02:19:36,417 [MCA-SWEEP] INFO -   CT offset 302000: 2000 records, 0 new MCA leads
2026-05-01 02:19:39,136 [MCA-SWEEP] INFO -   CT offset 304000: 2000 records, 0 new MCA leads
2026-05-01 02:19:41,390 [MCA-SWEEP] INFO -   CT offset 306000: 2000 records, 0 new MCA leads
2026-05-01 02:19:43,826 [MCA-SWEEP] INFO -   CT offset 308000: 2000 records, 0 new MCA leads
2026-05-01 02:19:45,667 [MCA-SWEEP] INFO -   CT offset 310000: 2000 records, 0 new MCA leads
2026-05-01 02:19:48,045 [MCA-SWEEP] INFO -   CT offset 312000: 2000 records, 0 new MCA leads
2026-05-01 02:19:50,200 [MCA-SWEEP] INFO -   CT offset 314000: 2000 records, 0 new MCA leads
2026-05-01 02:19:52,707 [MCA-SWEEP] INFO -   CT offset 316000: 2000 records, 0 new MCA leads
2026-05-01 02:19:54,768 [MCA-SWEEP] INFO -   CT offset 318000: 2000 records, 0 new MCA leads
2026-05-01 02:19:57,107 [MCA-SWEEP] INFO -   CT offset 320000: 2000 records, 0 new MCA leads
2026-05-01 02:19:59,119 [MCA-SWEEP] INFO -   CT offset 322000: 2000 records, 0 new MCA leads
2026-05-01 02:20:01,156 [MCA-SWEEP] INFO -   CT offset 324000: 2000 records, 0 new MCA leads
2026-05-01 02:20:03,428 [MCA-SWEEP] INFO -   CT offset 326000: 2000 records, 0 new MCA leads
2026-05-01 02:20:05,757 [MCA-SWEEP] INFO -   CT offset 328000: 2000 records, 0 new MCA leads
2026-05-01 02:20:08,494 [MCA-SWEEP] INFO -   CT offset 330000: 2000 records, 0 new MCA leads
2026-05-01 02:20:10,457 [MCA-SWEEP] INFO -   CT offset 332000: 2000 records, 0 new MCA leads
